episode,reward,power_consumption,detections
0,-26.25,52.5,3
1,8.75,122.5,15
2,25.25,119.5,13
3,11.75,96.5,7
4,-7.0,44.0,1
5,-48.5,117.0,17
6,81.5,117.0,18
7,-12.5,25.0,4
8,-49.25,98.5,12
9,26.5,147.0,15
10,-5.5,11.0,2
11,-29.0,48.0,3
12,31.75,116.5,12
13,12.0,116.0,13
14,37.75,84.5,10
15,69.25,131.5,15
16,16.25,47.5,2
17,15.0,70.0,7
18,-2.5,65.0,4
19,-26.5,53.0,7
20,23.0,134.0,16
21,8.25,63.5,7
22,56.0,108.0,12
23,57.5,105.0,12
24,58.25,123.5,14
25,42.75,94.5,10
26,-21.25,122.5,13
27,-34.75,69.5,8
28,-4.0,28.0,3
29,-5.5,131.0,17
30,16.5,67.0,9
31,-16.5,33.0,3
32,-2.75,5.5,1
33,-2.75,5.5,1
34,-16.5,53.0,7
35,-8.25,16.5,3
36,-12.75,45.5,6
37,32.75,74.5,11
38,-2.75,5.5,1
39,72.0,116.0,15
40,4.5,131.0,18
41,11.0,138.0,17
42,-11.0,22.0,4
43,-8.75,17.5,2
44,1.0,78.0,10
45,38.5,123.0,13
46,-16.5,33.0,5
47,-5.5,11.0,2
48,-52.5,105.0,15
49,21.0,78.0,11
50,3.5,63.0,6
51,15.75,118.5,12
52,53.5,93.0,12
53,-36.25,72.5,6
54,23.0,134.0,14
55,19.25,141.5,19
56,-5.5,11.0,1
57,-15.25,50.5,7
58,-15.5,71.0,7
59,48.25,143.5,17
60,-13.75,27.5,5
61,81.75,96.5,14
62,10.0,90.0,5
63,-21.0,72.0,6
64,-7.25,74.5,5
65,105.0,60.0,0
66,9.25,141.5,20
67,47.5,95.0,7
68,-13.75,47.5,3
69,-11.0,22.0,4
70,18.25,63.5,7
71,57.5,125.0,14
72,5.25,29.5,3
73,42.75,74.5,3
74,45.5,89.0,7
75,-11.75,143.5,15
76,-8.25,16.5,2
77,6.0,108.0,10
78,-13.5,77.0,2
79,78.0,124.0,20
80,40.5,119.0,10
81,-2.75,45.5,5
82,80.25,79.5,10
83,2.0,36.0,3
84,48.75,122.5,16
85,-4.25,88.5,6
86,40.75,98.5,11
87,-6.25,102.5,8
88,-7.25,14.5,1
89,24.75,50.5,5
90,-7.25,44.5,0
91,33.75,62.5,1
92,25.5,49.0,6
93,12.25,35.5,3
94,58.25,83.5,11
95,38.75,82.5,12
96,-19.25,38.5,6
97,-11.25,32.5,1
98,-5.25,50.5,2
99,8.25,23.5,2
